iter	Passed	Remaining
1090	11526	94125
1091	11533	94087
1092	11541	94050
1093	11552	94044
1094	11560	94014
1095	11568	93979
1096	11574	93938
1097	11582	93902
1098	11589	93864
1099	11598	93844
1100	11608	93824
1101	11615	93787
1102	11626	93781
1103	11634	93754
1104	11641	93714
1105	11651	93693
1106	11661	93679
1107	11672	93671
1108	11678	93628
1109	11690	93625
1110	11698	93596
1111	11704	93551
1112	11711	93516
1113	11720	93492
1114	11730	93474
1115	11741	93465
1116	11750	93443
1117	11757	93407
1118	11764	93370
1119	11771	93332
1120	11779	93300
1121	11786	93261
1122	11797	93258
1123	11804	93215
1124	11810	93175
1125	11817	93131
1126	11829	93131
1127	11835	93090
1128	11842	93052
1129	11854	93052
1130	11865	93044
1131	11875	93031
1132	11887	93035
1133	11894	92997
1134	11909	93016
1135	11938	93156
1136	11950	93153
1137	11962	93152
1138	11971	93137
1139	11981	93122
1140	11989	93085
1141	11998	93069
1142	12009	93063
1143	12021	93059
1144	12031	93044
1145	12038	93007
1146	12047	92990
1147	12057	92969
1148	12066	92949
1149	12075	92925
1150	12083	92901
1151	12090	92861
1152	12105	92885
1153	12123	92935
1154	12134	92923
1155	12143	92900
1156	12154	92894
1157	12161	92861
1158	12168	92825
1159	12178	92806
1160	12185	92768
1161	12194	92749
1162	12201	92710
1163	12207	92668
1164	12221	92683
1165	12228	92646
1166	12236	92614
1167	12245	92598
1168	12252	92558
1169	12260	92532
1170	12270	92519
1171	12278	92484
1172	12285	92451
1173	12295	92437
1174	12305	92419
1175	12312	92388
1176	12320	92360
1177	12329	92334
1178	12337	92304
1179	12343	92264
1180	12367	92354
1181	12375	92321
1182	12381	92281
1183	12388	92243
1184	12395	92209
1185	12403	92182
1186	12410	92139
1187	12418	92112
1188	12426	92085
1189	12433	92050
1190	12441	92024
1191	12448	91984
1192	12457	91962
1193	12468	91957
1194	12480	91957
1195	12489	91937
1196	12501	91937
1197	12507	91898
1198	12519	91895
1199	12526	91861
1200	12538	91863
1201	12546	91835
1202	12557	91828
1203	12570	91838
1204	12582	91834
1205	12593	91826
1206	12603	91819
1207	12610	91778
1208	12620	91770
1209	12628	91736
1210	12634	91695
1211	12641	91661
1212	12648	91629
1213	12657	91607
1214	12666	91586
1215	12675	91565
1216	12684	91541
1217	12719	91710
1218	12728	91686
1219	12765	91866
1220	12772	91836
1221	12779	91799
1222	12786	91762
1223	12797	91758
1224	12807	91746
1225	12815	91716
1226	12824	91691
1227	12831	91658
1228	12843	91656
1229	12855	91660
1230	12866	91655
1231	12879	91661
1232	12897	91708
1233	12914	91737
1234	12923	91721
1235	12931	91690
1236	12943	91690
1237	12951	91668
1238	12960	91643
1239	12969	91623
1240	12980	91619
1241	12989	91597
1242	12996	91560
1243	13003	91523
1244	13010	91494
1245	13020	91475
1246	13029	91455
1247	13036	91421
1248	13042	91383
1249	13051	91362
1250	13062	91355
1251	13071	91333
1252	13079	91307
1253	13091	91305
1254	13101	91293
1255	13125	91375
1256	13134	91357
1257	13142	91328
1258	13154	91326
1259	13163	91312
1260	13172	91285
1261	13178	91248
1262	13188	91230
1263	13195	91202
1264	13202	91166
1265	13212	91153
1266	13222	91139
1267	13230	91108
1268	13236	91072
1269	13247	91065
1270	13256	91046
1271	13267	91034
1272	13280	91045
1273	13297	91077
1274	13317	91130
1275	13331	91150
1276	13363	91281
1277	13371	91254
1278	13379	91227
1279	13390	91226
1280	13398	91192
1281	13406	91166
1282	13413	91133
1283	13422	91115
1284	13431	91097
1285	13440	91074
1286	13449	91049
1287	13459	91041
1288	13474	91060
1289	13480	91021
1290	13491	91011
1291	13499	90989
1292	13509	90974
1293	13516	90939
1294	13523	90908
1295	13535	90907
1296	13545	90889
1297	13554	90873
1298	13564	90861
1299	13576	90856
1300	13583	90827
1301	13593	90811
1302	13600	90777
1303	13606	90738
1304	13616	90725
1305	13626	90710
1306	13634	90683
1307	13642	90658
1308	13652	90642
1309	13659	90612
1310	13671	90611
1311	13681	90598
1312	13693	90595
1313	13699	90560
1314	13707	90529
1315	13719	90534
1316	13732	90537
1317	13742	90522
1318	13749	90495
1319	13757	90464
1320	13763	90426
1321	13776	90432
1322	13787	90427
1323	13795	90399
1324	13822	90495
1325	13829	90464
1326	13838	90447
1327	13847	90428
1328	13859	90428
1329	13866	90393
1330	13874	90364
1331	13884	90350
1332	13896	90351
1333	13904	90324
1334	13913	90307
1335	13920	90277
1336	13932	90272
1337	13942	90259
1338	13954	90258
1339	13970	90284
1340	13977	90255
1341	13985	90226
1342	13993	90205
1343	14003	90188
1344	14018	90205
1345	14028	90198
1346	14040	90194
1347	14048	90170
1348	14059	90164
1349	14071	90162
1350	14082	90153
1351	14095	90160
1352	14102	90126
1353	14113	90120
1354	14120	90087
1355	14131	90081
1356	14144	90089
1357	14150	90050
1358	14162	90050
1359	14171	90033
1360	14180	90008
1361	14187	89982
1362	14195	89954
1363	14206	89945
1364	14230	90020
1365	14252	90083
1366	14284	90209
1367	14299	90228
1368	14310	90220
1369	14317	90189
1370	14325	90165
1371	14337	90164
1372	14344	90133
1373	14356	90129
1374	14366	90116
1375	14375	90095
1376	14384	90076
1377	14391	90048
1378	14402	90038
1379	14412	90027
1380	14424	90024
1381	14443	90070
1382	14451	90041
1383	14462	90035
1384	14470	90006
1385	14481	90005
1386	14490	89980
1387	14502	89984
1388	14515	89988
1389	14522	89956
1390	14530	89927
1391	14538	89905
1392	14549	89895
1393	14558	89881
1394	14567	89856
1395	14579	89860
1396	14589	89847
1397	14600	89836
1398	14607	89809
1399	14614	89773
1400	14621	89743
1401	14635	89757
1402	14652	89781
1403	14667	89802
1404	14676	89781
1405	14684	89756
1406	14693	89735
1407	14704	89731
1408	14712	89704
1409	14719	89673
1410	14732	89676
1411	14742	89666
1412	14755	89668
1413	14763	89645
1414	14772	89624
1415	14781	89605
1416	14787	89572
1417	14793	89533
1418	14801	89508
1419	14809	89480
1420	14821	89481
1421	14832	89475
1422	14843	89466
1423	14849	89433
1424	14858	89410
1425	14872	89422
1426	14889	89448
1427	14896	89420
1428	14904	89396
1429	14914	89383
1430	14926	89379
1431	14935	89362
1432	14944	89342
1433	14951	89311
1434	14961	89298
1435	14968	89271
1436	14980	89270
1437	14992	89266
1438	14998	89231
1439	15005	89201
1440	15015	89185
1441	15023	89159
1442	15029	89127
1443	15040	89119
1444	15050	89103
1445	15057	89077
1446	15071	89084
1447	15080	89064
1448	15089	89047
1449	15097	89024
1450	15104	88991
1451	15113	88972
1452	15121	88949
1453	15133	88947
1454	15143	88937
1455	15154	88928
1456	15165	88923
1457	15176	88915
1458	15190	88925
1459	15203	88931
1460	15216	88936
1461	15223	88902
1462	15233	88893
1463	15242	88872
1464	15252	88861
1465	15259	88831
1466	15266	88797
1467	15272	88763
1468	15278	88727
1469	15285	88698
1470	15294	88680
1471	15304	88667
1472	15314	88654
1473	15327	88658
1474	15359	88775
1475	15377	88805
1476	15386	88785
1477	15393	88756
1478	15401	88732
1479	15420	88772
1480	15431	88767
1481	15439	88742
1482	15446	88711
1483	15453	88681
1484	15461	88656
1485	15470	88635
1486	15479	88621
1487	15487	88595
1488	15496	88573
1489	15502	88543
1490	15510	88514
1491	15527	88543
1492	15539	88545
1493	15546	88513
1494	15556	88501
1495	15568	88497
1496	15577	88480
1497	15585	88456
1498	15591	88420
1499	15599	88395
1500	15607	88374
1501	15614	88345
1502	15623	88325
1503	15630	88297
1504	15641	88290
1505	15651	88275
1506	15662	88271
1507	15674	88269
1508	15683	88250
1509	15690	88217
1510	15699	88201
1511	15706	88174
1512	15716	88161
1513	15730	88170
1514	15738	88148
1515	15760	88203
1516	15772	88197
1517	15783	88191
1518	15793	88177
1519	15804	88169
1520	15814	88158
1521	15824	88149
1522	15832	88124
1523	15842	88111
1524	15852	88100
1525	15862	88087
1526	15871	88065
1527	15879	88044
1528	15888	88028
1529	15899	88020
1530	15909	88008
1531	15919	87993
1532	15928	87973
1533	15936	87954
1534	15944	87928
1535	15955	87921
1536	15966	87913
1537	15972	87882
1538	15980	87854
1539	15990	87842
1540	15998	87818
1541	16006	87795
1542	16016	87782
1543	16024	87758
1544	16034	87749
1545	16042	87723
1546	16055	87728
1547	16063	87706
1548	16071	87681
1549	16083	87680
1550	16095	87681
1551	16108	87682
1552	16115	87655
1553	16121	87622
1554	16150	87710
1555	16167	87738
1556	16182	87751
1557	16206	87812
1558	16214	87793
1559	16226	87788
1560	16234	87763
1561	16243	87747
1562	16254	87740
1563	16264	87729
1564	16273	87711
1565	16281	87689
1566	16291	87676
1567	16300	87655
1568	16309	87641
1569	16319	87627
1570	16328	87608
1571	16337	87591
